Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2020-04-02,244.268768,76.660004,123.269997,115.677971,39.799999,75.018669,96.970001,28.030001,149.929993,181.309998,108.544289,54.044712,132.233337,86.610001,43.950001,161.5,136.555603,76.870003,154.828781,80.139999,32.545654,113.64212,53.653133,97.190002,240.440002,157.126907,54.662132,39.868053,118.130363,39.631573
2020-04-01,240.259628,77.409996,130.699997,110.337013,37.970001,67.568047,94.919998,27.040001,145.289993,178.630005,103.748604,51.588589,127.923225,83.492393,42.119999,158.169998,131.832443,73.800003,151.687546,79.230003,31.436705,108.605713,56.996704,95.199997,237.320007,152.854065,52.356922,42.547676,113.640114,36.816158
2020-03-31,253.6035,85.137077,149.139999,114.984344,38.940796,71.411621,96.599998,29.24,154.589996,186.710007,109.461983,53.816006,130.227264,89.10408,44.25,165.350006,135.169342,76.940002,157.271988,82.739998,32.317924,109.271271,58.843159,99.349998,249.380005,160.850662,53.158306,45.237186,113.122398,37.247791
2020-03-30,254.122101,89.771332,152.279999,110.693733,39.941307,70.908997,99.800003,28.65,159.619995,196.100006,111.435516,55.178314,132.094315,92.538399,45.0,168.130005,136.387268,76.949997,159.784988,85.379997,32.347626,114.238144,61.438171,102.589996,251.279999,165.293243,54.187241,44.653801,114.685516,36.786728
2020-03-27,247.071182,88.239845,162.0,104.480782,38.455399,67.784866,96.400002,28.559999,158.339996,190.550003,106.600357,52.075836,122.312126,90.192764,42.810001,164.009995,131.931458,71.730003,149.284225,83.230003,30.595093,109.44014,60.602276,99.949997,242.449997,161.289932,52.208519,43.506805,109.10009,36.247192
2020-03-26,257.74231,92.774651,180.550003,109.494743,40.198868,75.274902,105.360001,29.68,165.789993,195.210007,111.396042,55.228031,125.698647,97.110886,44.290001,167.350006,134.842575,73.529999,155.676437,84.300003,31.436705,106.668625,65.274544,98.669998,255.389999,168.597702,52.970329,45.158081,109.339035,38.081623
2020-03-25,244.857178,89.671883,158.729996,103.717781,37.316196,68.267769,100.730003,30.379999,155.130005,181.759995,104.449211,50.972069,118.578011,90.786606,41.610001,162.979996,130.248154,68.220001,146.511948,79.010002,29.45644,100.251419,60.003426,92.18,234.490005,161.509567,49.40863,40.975498,108.920876,36.580723
2020-03-24,246.213516,83.585701,127.68,100.418076,38.237461,65.587135,98.120003,28.469999,153.600006,184.720001,104.084114,52.105671,118.359528,87.520538,39.450001,161.949997,131.416565,69.050003,147.928009,72.330002,29.406935,102.585854,54.120983,93.739998,219.800003,154.271683,49.458099,44.742794,114.526215,34.765911
2020-03-23,223.764267,68.579056,105.620003,91.014404,34.275032,53.435528,85.760002,26.58,134.970001,162.389999,93.515839,49.30151,110.374878,78.217209,37.560001,137.100006,116.71241,66.400002,135.602341,62.799999,28.208874,97.05275,46.753891,88.360001,194.860001,135.513107,49.774696,43.121174,113.779503,30.851805
2020-03-20,228.62114,73.710548,95.010002,94.631203,35.265636,58.530724,85.980003,27.440001,138.410004,152.149994,94.127632,45.572575,119.064636,82.641243,38.299999,148.490005,123.66346,71.360001,136.968536,67.449997,28.723743,101.751419,51.482307,89.510002,206.589996,146.584564,51.24884,45.899677,113.470863,32.117268
2020-03-19,244.119171,76.644257,97.709999,102.072884,37.35582,56.559658,94.93,28.120001,149.490005,161.130005,99.012123,45.681953,126.175346,84.422729,41.830002,149.5,136.159515,70.730003,142.31366,70.339996,30.119829,110.095772,52.24958,86.07,219.800003,151.995499,53.049473,48.005802,118.926857,33.775124
2020-03-18,246.004074,73.34259,101.889999,99.209175,36.771362,54.253517,88.800003,26.440001,140.020004,155.630005,102.179649,47.342575,134.030899,83.027229,44.849998,137.300003,135.674332,71.629997,140.010056,68.040001,32.040688,116.671913,49.529804,81.690002,217.059998,148.231796,53.742027,52.218052,121.505524,32.49004
2020-03-17,252.177368,86.101723,124.139999,99.288445,35.16658,69.667236,93.529999,26.6,158.669998,173.639999,105.238625,49.798702,135.649658,92.795723,47.18,147.619995,133.119675,74.480003,146.162933,69.839996,31.842659,117.45668,57.913696,96.410004,244.220001,157.626068,53.732136,49.044033,118.21463,36.109856
2020-03-16,241.556122,85.395645,129.610001,92.560219,33.393391,68.691551,95.010002,22.0,154.660004,164.960007,97.768806,44.359425,126.254791,87.451256,45.259998,149.009995,129.624344,69.919998,135.043884,66.790001,29.882198,107.781204,56.722233,85.099998,225.039993,151.75589,50.44746,44.574699,105.824196,33.833984
2020-03-13,277.219574,99.049789,170.199997,98.733543,37.28648,82.213043,102.519997,25.690001,177.169998,205.669998,106.521416,54.124268,133.365494,102.841339,48.470001,177.130005,140.288559,76.75,158.38887,75.580002,32.38723,113.314308,65.748634,107.449997,272.040009,175.536087,53.59362,45.672253,113.099854,37.394936
2020-03-12,247.55986,83.068565,154.839996,91.420685,32.88818,75.156647,91.809998,23.67,150.679993,190.589996,101.44944,45.284203,124.546638,87.144447,46.75,170.130005,132.268127,73.839996,138.673782,74.199997,29.723776,101.165321,63.939613,102.18,249.330002,159.812408,50.655224,40.560207,103.137947,36.472816
2020-03-11,274.686432,94.853104,189.080002,99.773994,36.702019,81.82869,105.510002,27.99,171.889999,212.889999,116.408821,51.369823,130.892654,94.973091,51.756096,188.25,145.793976,78.60067,153.203323,84.0,31.85256,110.850731,67.064857,112.599998,276.58194,172.660889,54.246601,45.5536,113.426956,41.181515
2020-03-10,284.569672,102.729355,231.009995,105.521225,39.703564,83.750481,111.459999,31.4,184.350006,224.199997,123.118828,53.676792,140.664902,99.664345,53.193489,199.860001,151.794449,81.347969,160.473068,88.300003,34.24868,119.751381,74.463135,119.57,278.792389,182.294769,55.918621,48.608963,118.739983,42.584316
2020-03-09,265.451447,97.747032,227.169998,103.123238,37.603474,79.502838,104.349998,30.530001,172.809998,209.061295,116.250931,50.564373,135.500702,92.479012,51.409138,186.860001,142.645187,78.313049,150.201675,84.110001,33.426868,115.291122,71.961693,116.199997,272.260681,170.843948,55.235962,47.897034,116.133034,41.063801
2020-03-06,288.249725,107.642059,262.329987,120.305496,39.30732,93.940872,115.269997,38.970001,192.850006,226.991318,126.039658,55.456738,141.052216,106.968445,54.779579,198.860001,152.141006,81.526497,161.121277,88.360001,34.674438,120.854027,78.898361,124.019997,282.645691,184.051819,56.264893,49.943832,116.202423,46.782909
2020-03-05,292.129211,110.327156,260.369995,120.860397,39.198353,95.783821,113.980003,40.099998,198.789993,233.249451,127.835571,56.640053,141.032349,112.797874,56.246716,198.320007,149.923019,80.911583,165.808212,90.580002,35.110096,120.824219,78.873413,127.179115,281.739594,186.647476,56.551807,48.233223,114.9039,49.156879
2020-03-04,301.922699,115.060852,283.119995,126.240997,41.001259,97.104431,119.18,41.91,208.740005,239.477783,132.443771,58.350395,142.492233,118.617393,58.407757,207.020004,152.467773,82.290192,170.076324,93.790001,36.040821,123.675209,86.733299,130.666046,288.171753,193.96521,57.501595,48.144234,115.746445,51.422939
2020-03-03,288.53894,107.413338,280.619995,123.248474,39.66394,93.02433,116.449997,40.560001,203.429993,226.425125,127.194168,55.655617,134.656555,115.757118,55.572628,199.509995,143.813614,78.481651,164.053101,90.93,33.961544,117.387146,82.672356,124.486908,260.272583,185.419525,55.107346,45.603039,111.920288,50.324245
2020-03-02,298.003296,113.240967,289.269989,126.439178,40.783325,95.192497,119.980003,41.419998,209.470001,228.411819,132.52272,57.853203,139.056061,120.270218,55.433842,202.550003,151.517197,80.7033,172.310104,92.68,34.53582,118.767937,83.633011,126.841339,271.932068,192.008499,56.710106,47.570736,114.864243,52.855175
2020-02-28,272.622009,109.322731,275.109985,123.109741,39.554974,91.989517,117.650002,40.41,200.770004,216.392242,128.427628,55.208145,133.554184,114.915863,53.024971,194.169998,147.774323,75.932709,161.560043,89.379997,33.090225,112.479874,81.462181,119.023033,253.860382,181.456161,53.583729,45.247074,106.73613,50.461582
2020-02-27,272.781586,112.186821,287.76001,122.148567,39.66394,92.768089,118.040001,39.549999,204.440002,223.23645,131.348465,55.516403,138.162247,120.121765,54.45245,199.75,148.685287,77.440262,157.740677,88.305,33.763515,112.748085,82.454033,123.264992,252.82486,179.709091,54.474155,45.721699,109.432281,48.872395
2020-02-26,291.859924,117.84539,305.589996,127.083267,41.764027,96.621521,123.360001,42.349998,214.468674,233.716339,137.900589,59.314945,142.690857,125.337563,57.099236,208.793411,147.497086,79.285019,169.697372,91.745453,34.377399,119.363968,86.321594,127.715561,261.865692,186.897064,56.532021,47.135666,112.782661,52.00172
2020-02-25,287.302277,120.232132,304.140015,127.826447,42.338581,99.252892,128.190002,43.235367,216.287567,235.802383,139.834656,59.394493,143.654175,124.961479,57.317322,210.780975,145.407806,79.612312,167.603226,92.642967,33.595196,120.625549,86.589828,129.930908,262.254028,188.085068,56.512234,46.977459,113.387306,53.169086
2020-02-24,297.375,127.481857,317.899994,130.967606,43.586746,103.195015,133.009995,45.488132,223.175446,238.106949,144.492172,61.41309,144.905518,130.800797,58.14011,212.192139,151.051819,80.663628,170.415375,95.644638,34.327888,122.483162,91.436768,133.239044,276.591919,198.457687,57.372978,48.480419,115.300392,55.288002
2020-02-21,312.204865,134.154785,330.380005,135.961761,45.865143,107.432808,138.970001,47.514633,229.218491,243.709473,147.857056,63.978596,147.954361,134.413254,59.607243,214.527512,155.388794,81.665352,178.093994,99.972626,35.367531,125.860634,94.518341,134.272217,300.129944,208.460953,57.580746,50.873299,117.540581,58.005314
2020-02-20,319.435272,135.825516,336.279999,135.684296,46.409977,108.221222,140.369995,47.967155,231.315674,245.378311,149.218796,65.082359,146.414932,136.075989,59.200806,213.742432,157.002792,81.814125,183.907806,102.246323,35.496246,125.741432,93.507782,133.09996,300.826935,211.096527,57.471912,51.288586,116.658386,58.721432
2020-02-19,322.746338,136.173569,338.299988,135.614944,45.85524,109.137772,141.300003,46.786667,235.887726,242.020767,148.863556,66.73304,146.977417,136.075989,59.25037,214.289017,157.775131,81.32814,186.759857,102.176514,35.872498,124.608986,93.994347,133.62648,303.993225,212.95343,57.600533,51.486347,116.648476,59.192299
2020-02-18,318.138794,134.850937,338.880005,135.337494,46.15242,108.645004,139.139999,46.963741,231.79277,242.318787,149.100388,65.768486,147.174789,134.24501,59.012455,214.805771,157.319656,81.78437,186.201416,101.717789,35.961609,124.042763,94.368629,134.987488,300.836914,210.846954,57.293831,51.278702,118.581375,58.741051
2020-02-14,324.072754,135.119431,340.48999,136.734665,46.528851,108.48732,139.539993,47.839272,235.639236,243.401535,148.705673,66.892143,148.151749,136.046295,59.428806,215.739929,159.428726,81.972816,184.331741,103.253525,36.149734,125.304344,95.728516,136.855133,297.491394,209.938477,57.887444,51.804737,116.856636,59.496407
2020-02-13,323.99295,133.717224,342.820007,138.448914,46.875565,108.773125,140.899994,47.514633,236.90152,240.749283,152.267899,67.061188,148.112274,136.461975,59.091763,216.067886,158.190994,81.298386,182.70076,103.084,36.56559,124.132164,95.478996,135.980911,300.896637,207.053299,58.025955,52.510494,116.410576,59.771076
